0.20096E+04 0.16557E+01 0.00000E+01 108966 0 0 6223 0.30970E+01 0.00000E+01 0.20096E+04 0.00000E+01 0.00000E+01 0
1 2005.0 12.853 0.32643 3105.2 2005.0
2 2005.1 6.6336 0.23826 3541.2 2005.1
3 2006.0 4.2625 0.2164 2877.0 2006.0
4 1984.0 12.641 0.32444 3100.9 1984.0
5 2016.7 6.4774 0.2313 3253.6 2016.7
6 2009.6 4.1219 0.20889 2733.0 2009.6
7 1998.9 12.649 0.32224 3108.5 1998.9
8 2002.6 7.0387 0.25312 3617.6 2002.6
9 2016.4 3.8033 0.19209 2828.5 2016.4
10 2021.6 11.795 0.29709 3132.7 2021.6
11 2008.5 6.5681 0.2355 3311.9 2008.5
12 2010.3 4.202 0.21287 2910.7 2010.3
13 2013.3 11.982 0.30306 3128.3 2013.3
14 2002.4 7.2986 0.26249 3445.4 2002.4
15 2009.0 4.1366 0.2097 2885.8 2009.0
16 2005.0 11.841 0.30073 3130.5 2005.0
17 2009.8 7.1414 0.25589 3468.3 2009.8
18 2012.3 4.1183 0.20843 2887.4 2012.3
<lo_statistics>
<cumulated_time> 3.144179 </cumulated_time>
</lo_statistics>
