0.10764E+02 0.74236E-02 0.00000E+01 110436 0 0 6335 0.58850E+03 0.00000E+01 0.10764E+02 0.00000E+01 0.00000E+01 0
1 10.736 0.065791 0.31414 15.943 10.736
2 10.76 0.036834 0.24817 18.87 10.76
3 10.782 0.022191 0.21102 15.194 10.782
4 10.755 0.064401 0.30698 15.978 10.755
5 10.77 0.035139 0.23653 18.503 10.77
6 10.777 0.021823 0.2076 15.124 10.777
7 10.759 0.062298 0.29683 16.013 10.759
8 10.771 0.035632 0.23984 18.583 10.771
9 10.735 0.022464 0.21456 14.909 10.735
10 10.678 0.062876 0.30186 15.98 10.678
11 10.746 0.035757 0.24124 18.945 10.746
12 10.763 0.022101 0.21053 15.275 10.763
13 10.837 0.061983 0.2932 16.03 10.837
14 10.796 0.037283 0.25038 19.304 10.796
15 10.765 0.023098 0.22 15.244 10.765
16 10.745 0.063791 0.30433 15.974 10.745
17 10.736 0.037233 0.25143 18.624 10.736
18 10.769 0.021913 0.20863 15.147 10.769
<lo_statistics>
<cumulated_time> 3.019801 </cumulated_time>
</lo_statistics>
