0.20126E+04 0.13925E+01 0.00000E+01 110730 0 0 6333 0.31460E+01 0.00000E+01 0.20126E+04 0.00000E+01 0.00000E+01 0
1 2008.6 12.455 0.31831 3119.4 2008.6
2 2014.5 6.7513 0.24329 3515.6 2014.5
3 2016.8 4.119 0.20967 2915.8 2016.8
4 2010.0 12.121 0.30956 3127.5 2010.0
5 2011.9 6.6628 0.24042 3516.3 2011.9
6 2015.7 4.0841 0.20802 2892.8 2015.7
7 2013.1 11.761 0.2999 3134.3 2013.1
8 2013.9 6.6601 0.24008 3447.8 2013.9
9 2006.0 4.2399 0.21699 2841.6 2006.0
10 1997.0 11.839 0.30433 3127.9 1997.0
11 2009.0 6.7073 0.24236 3439.0 2009.0
12 2012.1 4.1626 0.21239 2905.9 2012.1
13 2023.6 11.643 0.29534 3137.5 2023.6
14 2021.7 6.873 0.24679 3503.1 2021.7
15 2012.0 4.375 0.22324 2899.0 2012.0
16 2009.7 12.006 0.30665 3126.7 2009.7
17 2003.8 6.9772 0.25278 3554.1 2003.8
18 2014.2 4.1231 0.21015 2851.7 2014.2
<lo_statistics>
<cumulated_time> 3.130717 </cumulated_time>
</lo_statistics>
