0.19700E+04 0.21639E+01 0.00000E+01 47847 0 0 2783 0.14120E+01 0.00000E+01 0.19700E+04 0.00000E+01 0.00000E+01 0
1 1965.4 13.3 0.32292 3064.7 1965.4
2 1971.9 6.7668 0.23158 3419.5 1971.9
3 1966.9 4.4859 0.21766 2782.6 1966.9
4 1951.1 13.184 0.32245 3055.9 1951.1
5 1975.7 6.7358 0.23007 3145.7 1975.7
6 1971.7 4.2978 0.20802 2628.1 1971.7
7 1957.9 13.188 0.32143 3062.7 1957.9
8 1965.5 7.2423 0.24866 3534.1 1965.5
9 1973.3 4.172 0.20178 2742.2 1973.3
<lo_statistics>
<cumulated_time> 1.553381 </cumulated_time>
</lo_statistics>
