0.39843E+04 0.48963E+01 0.00000E+01 52656 0 0 3003 0.75400E+00 0.00000E+01 0.39843E+04 0.00000E+01 0.00000E+01 0
1 3984.2 25.802 0.3242 6190.1 3984.2
2 3977.5 13.381 0.23816 7042.4 3977.5
3 3980.7 8.554 0.21514 5596.3 3980.7
4 3935.6 25.437 0.32356 6174.1 3935.6
5 4001.2 12.898 0.22821 6307.2 4001.2
6 3988.4 8.2461 0.207 5424.6 3988.4
7 3959.1 25.476 0.32212 6207.9 3959.1
8 3974.4 14.026 0.24985 7184.7 3974.4
9 3990.7 8.2145 0.20609 5776.8 3990.7
<lo_statistics>
<cumulated_time> 1.585782 </cumulated_time>
</lo_statistics>
