0.20139E+04 0.16467E+01 0.00000E+01 108966 0 0 6243 0.31000E+01 0.00000E+01 0.20139E+04 0.00000E+01 0.00000E+01 0
1 2009.5 12.882 0.32643 3112.1 2009.5
2 2009.6 6.6486 0.23826 3549.2 2009.6
3 2010.6 4.2721 0.2164 2883.4 2010.6
4 1988.5 12.669 0.32444 3107.8 1988.5
5 2021.3 6.492 0.2313 3260.9 2021.3
6 2014.2 4.1312 0.20889 2739.1 2014.2
7 2003.4 12.678 0.32224 3115.4 2003.4
8 2007.4 7.0569 0.25317 3625.7 2007.4
9 2020.4 3.8832 0.19574 2832.3 2020.4
10 2026.2 11.821 0.29709 3139.7 2026.2
11 2013.0 6.583 0.2355 3319.5 2013.0
12 2014.7 4.2141 0.21302 2917.2 2014.7
13 2017.9 12.009 0.30306 3135.3 2017.9
14 2006.9 7.3151 0.26249 3453.1 2006.9
15 2013.5 4.1474 0.20977 2892.3 2013.5
16 2009.6 11.868 0.30073 3137.4 2009.6
17 2012.1 7.1539 0.25604 3476.1 2012.1
18 2015.9 4.1679 0.21056 2891.5 2015.9
<lo_statistics>
<cumulated_time> 3.153187 </cumulated_time>
</lo_statistics>
